Pick,Draft_Tm,player_name,Player ID,College,Draft Year,Tot_Yrs,Tot_G,Tot_MP,Tot_PTS,Tot_TRB,Tot_AST,Tot_FG%,Tot_3P%,Tot_FT%,Tot_MP.1,Tot_PTS.1,Tot_TRB.1,Tot_AST.1,Tot_WS,Tot_WS/48,Tot_BPM,Tot_VORP,Year,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,poss,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
4,CHI,Marcus Fizer,fizerma01,Iowa State,2000,6,289,6032,2782,1340,352,0.435,0.191,0.691,20.9,9.6,4.6,1.2,2.7,0.022,-3.7,-2.6,2005,PF,27,NOK,3,39,14.1,0.559,0.059,0.118,3,18.8,10.7,5.3,0,0,10.1,23.8,0,0,0,0.056,-1.4,-2.3,-3.7,0,73,-2.035158973,-2.368065935,-4.403224907,-0.032938406,-0.032938406,0,-2.344709773,-3.065718625,-5.410428398,0.119407307
4,CHI,Marcus Fizer,fizerma01,Iowa State,2000,6,289,6032,2782,1340,352,0.435,0.191,0.691,20.9,9.6,4.6,1.2,2.7,0.022,-3.7,-2.6,2004,PF,26,MIL,54,903,11.6,0.498,0.021,0.353,3.7,19.2,11.4,11.8,1.5,1.1,15.7,20.2,-0.2,0.7,0.4,0.023,-2.7,-0.2,-2.9,-0.2,1728,-3.789164409,-1.314056874,-5.103221283,-1.086811136,-1.086811136,0,-3.491619079,-1.82735966,-5.31897874,0.225563906
4,CHI,Marcus Fizer,fizerma01,Iowa State,2000,6,289,6032,2782,1340,352,0.435,0.191,0.691,20.9,9.6,4.6,1.2,2.7,0.022,-3.7,-2.6,2003,SF,25,CHI,46,738,13.4,0.447,0.049,0.343,8.8,21.5,15,11.1,1.1,0.8,11.2,27.5,-0.3,0.8,0.5,0.033,-2.7,-1.7,-4.5,-0.5,1434,-2.606663119,-2.097244565,-4.703907684,-0.738574426,-0.738574426,0,-2.884158892,-2.328560245,-5.212719137,0.356234084
4,CHI,Marcus Fizer,fizerma01,Iowa State,2000,6,289,6032,2782,1340,352,0.435,0.191,0.691,20.9,9.6,4.6,1.2,2.7,0.022,-3.7,-2.6,2002,PF,24,CHI,38,809,17.9,0.503,0.016,0.35,11.1,18.3,14.8,11.2,0.9,1.5,11.4,27.4,0.8,0.6,1.4,0.082,0.7,-1.6,-1,0.2,1594,-0.708443487,-2.004950247,-2.713393734,0.015095625,0.015095625,0,-0.729775701,-2.228791081,-2.958566782,-0.083352065
4,CHI,Marcus Fizer,fizerma01,Iowa State,2000,6,289,6032,2782,1340,352,0.435,0.191,0.691,20.9,9.6,4.6,1.2,2.7,0.022,-3.7,-2.6,2001,PF,23,CHI,76,1963,14.2,0.482,0.048,0.334,7.4,18.3,12.7,11.7,1.3,0.9,11.9,25.9,-0.2,1.3,1.1,0.026,-1.1,-1.8,-3,-0.5,3744,-2.145269951,-1.855181458,-4.000451409,-1.254217775,-1.254217775,0,-2.051928116,-1.842602362,-3.894530478,0.136492489
4,CHI,Marcus Fizer,fizerma01,Iowa State,2000,6,289,6032,2782,1340,352,0.435,0.191,0.691,20.9,9.6,4.6,1.2,2.7,0.022,-3.7,-2.6,2000,PF,22,CHI,72,1580,11,0.476,0.06,0.249,5.5,18.5,11.8,9.4,1,0.9,14.7,24.7,-1.3,0.6,-0.7,-0.022,-3.3,-2.8,-6.1,-1.6,2973,-4.945421882,-3.520451768,-8.46587365,-4.625346953,-4.625346953,0,-4.731208093,-3.731836213,-8.463044306,0.354515742
5,ORL,Mike Miller,millemi01,Florida,2000,17,1032,27812,10973,4376,2666,0.459,0.407,0.769,26.9,10.6,4.2,2.6,60.7,0.105,0.8,19.8,2016,SF,36,DEN,20,151,7.6,0.586,0.87,0.087,1.5,26.1,13.9,18.3,0.6,0,35.2,10.4,0,0.1,0.1,0.018,-2,0.5,-1.5,0,331,-1.609605804,-4.280725853,-5.890331657,-0.245649873,-0.245649873,0,-1.504926651,-6.901022227,-8.405948878,1.507494227
5,ORL,Mike Miller,millemi01,Florida,2000,17,1032,27812,10973,4376,2666,0.459,0.407,0.769,26.9,10.6,4.2,2.6,60.7,0.105,0.8,19.8,2015,SF,35,DEN,47,373,6.5,0.508,0.839,0,1.8,14.2,7.9,14.9,1.7,0.9,21.5,9.3,0.1,0.3,0.3,0.04,-3.8,1.3,-2.5,0,774,-1.722015955,-0.221039116,-1.94305507,0.155046046,0.155046046,0,-1.977010981,-1.427514424,-3.404525405,0.942137973
5,ORL,Mike Miller,millemi01,Florida,2000,17,1032,27812,10973,4376,2666,0.459,0.407,0.769,26.9,10.6,4.2,2.6,60.7,0.105,0.8,19.8,2014,SF,34,CLE,52,701,4.6,0.471,0.86,0.035,0.7,14,7.4,9,1,0.5,16.6,8.9,-0.1,0.5,0.4,0.028,-3.7,0.3,-3.4,-0.2,1514,-2.745968514,-3.676986152,-6.422954666,-1.436753756,-1.342307249,-0.094446508,-1.998491684,-4.17122629,-6.169717974,-0.042557669
5,ORL,Mike Miller,millemi01,Florida,2000,17,1032,27812,10973,4376,2666,0.459,0.407,0.769,26.9,10.6,4.2,2.6,60.7,0.105,0.8,19.8,2013,SF,33,MEM,82,1707,12.5,0.619,0.526,0.126,2.1,12.3,7.2,11.5,0.8,0.2,14.1,14.7,2.6,1.4,3.9,0.111,0.7,-0.3,0.4,1,3655,0.519014976,-2.841897898,-2.322882922,0.415091501,0.313633265,0.101458236,-0.120249425,-2.934435069,-3.054684493,0.450398416
